k;s;alpha
1;1;0,3679
2;1;0,347
2;2;0,6667
3;1;0,3367
3;2;0,5868
3;3;0,7746
4;1;0,3302
4;2;0,541
4;3;0,6971
4;4;0,8298
5;1;0,3255
5;2;0,5116
5;3;0,6477
5;4;0,7607
5;5;0,8633
6;1;0,3219
6;2;0,4893
6;3;0,612
6;4;0,7132
6;5;0,8021
6;6;0,8858
7;1;0,319
7;2;0,472
7;3;0,5846
7;4;0,6772
7;5;0,758
7;6;0,8313
7;7;0,902
8;1;0,3166
8;2;0,4581
8;3;0,5625
8;4;0,6486
8;5;0,7233
8;6;0,7905
8;7;0,853
8;8;0,9141
9;1;0,3146
9;2;0,4465
9;3;0,5443
9;4;0,625
9;5;0,695
9;6;0,7577
9;7;0,8153
9;8;0,8697
9;9;0,9236
10;1;0,3129
10;2;0,4367
10;3;0,5289
10;4;0,6051
10;5;0,6712
10;6;0,7304
10;7;0,7844
10;8;0,8349
10;9;0,883
10;10;0,9312
15;1;0,3068
15;2;0,4034
15;3;0,4765
15;4;0,5376
15;5;0,5909
15;6;0,6386
15;7;0,6821
15;8;0,7223
15;9;0,7598
15;10;0,7951
15;11;0,8287
15;12;0,8608
15;13;0,8919
15;14;0,9226
15;15;0,954
20;1;0,3031
20;2;0,3836
20;3;0,4454
20;4;0,4973
20;5;0,5429
20;6;0,5839
20;7;0,6214
20;8;0,6561
20;9;0,6885
20;10;0,7189
20;11;0,7477
20;12;0,7751
20;13;0,8013
20;14;0,8265
20;15;0,8507
20;16;0,8742
20;17;0,8971
20;18;0,9197
20;19;0,9421
20;20;0,9655
25;1;0,3008
25;2;0,3702
25;3;0,4242
25;4;0,4699
25;5;0,5102
25;6;0,5466
25;7;0,5799
25;8;0,6108
25;9;0,6397
25;10;0,667
25;11;0,6927
25;12;0,7172
25;13;0,7407
25;14;0,7631
25;15;0,7847
25;16;0,8055
25;17;0,8256
25;18;0,8451
25;19;0,864
25;20;0,8825
25;21;0,9006
25;22;0,9184
25;23;0,936
25;24;0,9538
25;25;0,9724
